lig1,lig2,Label,Label1,Label2,dir_1,dir_2,pred_delta_pIC50
alpha2A_epi_docked,alpha1A_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,0.330388605594635
alpha2A_epi_docked,alpha1A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,0.7362921833992004
alpha2A_epi_docked,alpha2A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,1.0815006494522097
alpha2A_epi_docked,beta1_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,-0.095496542751789
alpha2A_epi_docked,beta1_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,0.417525053024292
alpha2A_epi_docked,beta2_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,0.0767125189304351
alpha2A_epi_docked,beta3_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,0.5507055521011353
alpha2A_epi_docked,alpha2A_epi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,-0.0797319114208221
alpha2A_epi_docked,alpha2A_norepi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,1.059818148612976
alpha2A_norepi_docked,alpha1A_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,-1.0666970014572144
alpha2A_norepi_docked,alpha1A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,-0.4414923191070556
alpha2A_norepi_docked,alpha2A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,0.305877149105072
alpha2A_norepi_docked,beta1_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,-1.3974430561065674
alpha2A_norepi_docked,beta1_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,-0.8871068954467773
alpha2A_norepi_docked,beta2_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,-1.35937762260437
alpha2A_norepi_docked,beta3_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,-0.6574460864067078
alpha2A_norepi_docked,alpha2A_epi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,-1.0519614219665527
alpha2A_norepi_docked,alpha2A_norepi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,-0.0797319188714027
